Word,Frequency,Score
surmount,157.0,2.6420382165605094
aim,142.0,2.5676056338028173
pod,201.0,2.9462686567164176
runout,820.0,2.772804878048783
sign,62.0,2.561290322580646
register,103.0,2.756310679611651
descent,1575.0,2.702285714285718
strenuous,234.0,3.060256410256411
10d,155.0,3.0116129032258065
supposedly,59.0,3.1542372881355942
aided,78.0,3.01025641025641
bring,566.0,2.8038869257950516
11d,79.0,3.2341772151898747
though,534.0,2.8185393258426963
covered,170.0,2.2811764705882354
care,140.0,2.755714285714286
must,255.0,2.861960784313725
taken,69.0,2.6565217391304348
avoid,458.0,2.6445414847161572
days,109.0,2.98348623853211
11b,107.0,3.1925233644859827
leftwards,70.0,3.0128571428571433
mellow,95.0,2.569473684210527
break,392.0,2.6862244897959178
protects,293.0,2.8276450511945375
brings,147.0,2.805442176870749
leading,438.0,2.7061643835616427
consider,109.0,2.7275229357798167
alpine,179.0,2.672067039106145
draws,185.0,3.0627027027027016
12a,103.0,3.214563106796116
upwards,151.0,2.9046357615894043
desperate,61.0,2.9934426229508193
best,1107.0,2.967841011743451
had,610.0,2.6152459016393426
initially,55.0,2.918181818181818
really,845.0,2.7403550295857975
come,266.0,2.6793233082706767
view,254.0,2.7905511811023613
multipitch,199.0,2.8145728643216077
upper,865.0,2.6054335260115624
tier,57.0,2.475438596491228
access,314.0,2.6499999999999995
steepens,146.0,2.8041095890410963
under,1295.0,2.7241698841698887
ready,99.0,3.0212121212121215
cool,598.0,2.7929765886287594
flakes,666.0,2.6836336336336353
establish,67.0,2.9283582089552245
want,626.0,2.7677316293929715
undercling,279.0,2.8365591397849452
expect,173.0,2.8271676300578026
return,84.0,2.7130952380952387
160,198.0,2.7707070707070707
gap,90.0,2.6666666666666665
trees,810.0,2.399259259259256
look,764.0,2.7316753926701582
faint,94.0,2.6414893617021282
pinnacle,218.0,2.711467889908257
pro,1460.0,2.6658904109589066
people,238.0,2.794117647058821
stuff,175.0,2.577142857142857
mostly,595.0,2.701008403361345
slanting,155.0,2.612258064516129
belayrap,70.0,2.392857142857142
kinda,58.0,2.6000000000000005
cold,72.0,2.6583333333333337
winter,97.0,2.7525773195876293
510a,808.0,2.8952970297029683
weakness,277.0,2.723104693140795
pinches,83.0,2.8349397590361445
ancient,61.0,2.5081967213114744
ring,185.0,2.6870270270270282
510d,295.0,3.0322033898305083
leaving,82.0,2.868292682926829
clean,1037.0,2.712921890067505
heady,68.0,2.836764705882354
friction,426.0,2.8380281690140836
rusty,91.0,2.754945054945055
calls,75.0,2.6200000000000006
like,1056.0,2.678977272727274
wont,95.0,2.76
put,351.0,2.768945868945867
gully,1404.0,2.4642450142450127
between,984.0,2.6917682926829256
hidden,231.0,2.9151515151515146
old,917.0,2.681461286804797
backed,96.0,2.7010416666666663
piece,384.0,2.794531249999999
blast,53.0,3.0320754716981133
peak,179.0,2.677094972067037
mind,126.0,2.676190476190477
despite,101.0,2.7108910891089097
airy,293.0,2.893515358361772
opinion,76.0,2.905263157894738
worth,334.0,2.5925149700598777
northeast,94.0,2.2872340425531927
fin,113.0,2.5274336283185854
begins,395.0,2.7458227848101253
angling,225.0,2.7262222222222214
lost,150.0,2.628666666666668
arrow,67.0,2.492537313432836
finding,227.0,2.6691629955947143
apex,51.0,2.65686274509804
lower,981.0,2.653211009174315
distance,134.0,2.615671641791045
proper,145.0,2.6944827586206888
chossy,200.0,2.3140000000000005
mossy,134.0,2.5216417910447766
gets,766.0,2.763707571801565
pulled,77.0,2.7454545454545456
rocks,317.0,2.5694006309148256
came,129.0,2.5627906976744192
overlap,474.0,2.6974683544303772
figure,88.0,2.8000000000000003
problem,266.0,3.0075187969924806
established,229.0,3.0148471615720522
keeps,82.0,2.9768292682926836
blow,64.0,2.8468750000000003
groove,981.0,2.8652395514780777
raps,439.0,2.8154897494305207
exactly,62.0,2.8016129032258075
knot,64.0,2.68125
add,128.0,2.8421875
length,269.0,2.7724907063197017
visible,226.0,2.7017699115044236
land,77.0,2.824675324675326
climbed,1025.0,2.57687804878049
friends,86.0,2.970930232558141
group,51.0,2.617647058823529
